ID,SKU,Nombre,"Precio rebajado","Precio normal",Categorías,Etiquetas
6527,A-6751,"TAMBOR FRENO TRASERO BREMBO",301,342,"Automotriz, Automotriz > Frenos","BREMBO, NEON, TAMBOR, TRASERO"
6529,A-6023,"TAMBOR FRENO TRASERO BREMBO",1557,1769,"Automotriz, Automotriz > Frenos","BREMBO, RAM, TAMBOR, TRASERO"
6530,A-4400,"TAMBOR FRENO TRASERO BREMBO",956,1086,"Automotriz, Automotriz > Frenos","CHARGER, TAMBOR, TRASERO"
6532,A-6041,"TAMBOR FRENO TRASERO BREMBO",600,682,"Automotriz, Automotriz > Frenos","BREMBO, ESCAPE, FORD, TAMBOR, TRASERO"
6534,A-5900,"TAMBOR FRENO TRASERO BREMBO",455,517,"Automotriz, Automotriz > Frenos","BREMBO, FORD, TAMBOR, TRASERO"
6535,A-1903,"TAMBOR FRENO TRASERO BREMBO",655,745,"Automotriz, Automotriz > Frenos","BREMBO, FORD, FRENO, TAMBOR, TRASERO"
6537,A-5947,"TAMBOR FRENO TRASERO BREMBO",557,633,"Automotriz, Automotriz > Frenos","BREMBO, FIESTA, FORD, FRENO, KA, TAMBOR, TRASERO"
6538,A-6059,"TAMBOR FRENO TRASERO BREMBO",1316,1495,"Automotriz, Automotriz > Frenos","BREMBO, FORD, FRENO, MICRO, TAMBOR, TRASERO"
6540,A-5789,"TAMBOR FRENO TRASERO BREMBO",977,1110,"Automotriz, Automotriz > Frenos","BREMBO, FORD, FRENO, LOBO, PICK UP, TAMBOR, TRASERO"
6542,A-6081,"TAMBOR FRENO TRASERO BREMBO",540,613,"Automotriz, Automotriz > Frenos","AEROSTAR, BREMBO, FORD, FRENO, RANGER, TAMBOR, TRASERO"
6544,A-4007,"TAMBOR FRENO TRASERO BREMBO",492,559,"Automotriz, Automotriz > Frenos","BREMBO, FORD, FRENO, GHIA, TAMBOR, TOPAZ, TRASERO"
6546,A-I1306,"TAMBOR FRENON TRASERO BREMBO",371,422,"Automotriz, Automotriz > Frenos","BREMBO, CAVALIER, FRENO, TAMBOR, TRASERO"
6547,A-6018,"TAMBOR FRENO TRASERO BREMBO",358,407,"Automotriz, Automotriz > Frenos","BREMBO, CHEVY, FRENO, TAMBOR, TRASERO"
6548,A-4987,"TAMBOR FRENO TRASERO BREMBO",534,607,"Automotriz, Automotriz > Frenos","BREMBO, CHEVY, FRENO, TAMBOR, TAZA, TRASERO"
6550,A-6154,"TAMBOR FRENO TRASERO BREMBO",1024,1368,"Automotriz, Automotriz > Frenos","BREMBO, CORSA, FRENO, TAMBOR, TRASERO"
6552,A-4751,"TAMBOR FRENO TRASERO BREMBO",897,1019,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, SUBURBAN, TAMBOR, TRASERO"
6554,A-6073,"TAMBOR FRENO TRASERO BREMBO",520,591,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, TAMBOR, TORNADO, TRASERO"
6556,A-7454,"TAMBOR FRENO TRASERO BREMBO",419,476,"Automotriz, Automotriz > Frenos","ATTITUDE, BREMBO, FRENO, HYUNDAI, TAMBOR, TRASERO"
6557,A-4734,"TAMBOR FRENO TRASERO BREMBO",1178,1339,"Automotriz, Automotriz > Frenos","ESTAQUITAS, FRENO, NISSAN, PICK UP, TAMBOR, TRASERO"
6558,A-3402,"TAMBOR FRENO TRASERO BREMBO",435,494,"Automotriz, Automotriz > Frenos","BREMBO, D21, ESTAQUITAS, FRENO, PICK UP, TAMBOR, TRASERO"
6560,A-4378,"TAMBOR FRENO TRASERO BREMBO",512,581,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, HIKARI, NISSAN, TAMBOR, TRASERO, TSURU III, VAGONETA"
6562,A-4370,"TAMBOR FRENO TRASERO BREMBO",724,823,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, ICHIVAN, NISSAN, SAKURA, SAMURAI, SEDAN, TAMBOR, TRASERO"
6564,A-6027,"TAMBOR FRENO TRASERO BREMBO",674,766,"Automotriz, Automotriz > Frenos","BREMBO, CLIO, FRENO, NISSAN, PLATINA, TAMBOR, TRASERO"
6566,A-6994,"TAMBOR FRENO TRASERO BREMBO",467,530,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, NISSAN, SENTRA, TAMBOR, TIIDA, TRASERO"
6568,A-5748,"TAMBOR FRENO TRASERO BREMBO",501,570,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, NISSAN, SENTRA, TAMBOR, TRASERO"
6570,A-4749,"TAMBOR FRENO TRASERO BREMBO",857,974,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, NISSAN, TAMBOR, TRASERO, TSUBAME, VANETTE"
6572,A-4735,"TAMBOR FRENO TRASERO BREMBO",387,440,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, NISSAN, TAMBOR, TRASERO, TSURU GS"
6574,A-4006,"TAMBOR FRENO TRASERO BREMBO",386,438,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, NISSAN, SAMURAI, TAMBOR, TRASERO, TSURU I, VAGONETA"
6577,A-5935,"TAMBOR FRENO TRASERO BREMBO",784,891,"Automotriz, Automotriz > Frenos","BREMBO, ESTAQUITAS, FRENO, NISSAN, PICK UP, TAMBOR, TRASERO, Urvan"
6579,A-5951,"TAMBOR FRENO TRASERO BREMBO",549,624,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, PEUGEOT, TAMBOR, TRASERO"
6581,A-5959,"TAMBOR FRENO TRASERO BREMBO",612,696,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, PEUGEOT, TAMBOR, TRASERO"
6583,A-5963,"TAMBOR FRENO TRASERO BREMBO",609,692,"Automotriz, Automotriz > Frenos","BREMBO, CLIO, FRENO, RENAULT, TAMBOR, TRASERO"
6585,A-5966,"TAMBOR FRENO TRASERO BREMBO",634,721,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, KANGOO, RENAULT, TAMBOR, TRASERO"
6587,A-7418,"TAMBOR FRENO TRASERO BREMBO",565,642,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, MATIZ, PONTIAC, TAMBOR, TRASERO"
6589,A-7490,"TAMBOR FRENO TRASERO BREMBO",674,765,"Automotriz, Automotriz > Frenos","CLASICO, FRENO, TAMBOR, TRASERO, VOLKSWAGEN"
6591,A-5968,"TAMBOR FRENO TRASERO BREMBO",528,600,"Automotriz, Automotriz > Frenos","ATLANTIC, BREMBO, CARIBE, FRENO, GOLF, JETTA, TAMBOR, TRASERO"
6593,A-4026,"TAMBOR FRENO TRASERO BREMBO",503,572,"Automotriz, Automotriz > Frenos","BREMBO, COMBI, FRENO, PANEL, TAMBOR, TRASERO"
6595,14.9384.10,"TAMBOR FRENO TRASERO BREMBO",502,571,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, GOL, TAMBOR, TRASERO, VW"
6597,A-5926,"TAMBOR FRENO TRASERO BREMBO",605,688,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, GOLF, JETTA, TAMBOR, TRASERO"
6599,A-5890,"TAMBOR FRENO TRASERO BREMBO",592,673,"Automotriz, Automotriz > Frenos","BREMBO, FRENO, POINTER, TAMBOR, TRASERO"
6601,A-2590,"TAMBOR FRENO TRASERO BREMBO",736,836,"Automotriz, Automotriz > Frenos","BRASILIA, BREMBO, FRENO, SEDAN, TAMBOR, TRASERO, VW"
6603,A-5911,"DISCO VENTILADO BREMBO",513,583,"Automotriz, Automotriz > Frenos","BREMBO, CLIO, DELANTERO, DISCO, FRENO, RENAULT, VENTILADO"
6605,A-5964,"DISCO VENTILADO BREMBO",643,730,"Automotriz, Automotriz > Frenos","BREMBO, CLIO, DISCO, FRENO, RENAULT, SPORT, VENTILADO"
6607,A-7378,"DISCO VENTILADO BREMBO",873,992,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, DUSTER, FLUENCE, RENAULT, VENTILADO"
6609,A-6076,"DISCO VENTILADO BREMBO",840,954,"Automotriz, Automotriz > Frenos","BREMBO, DISCO, FRENO, HIACE, Toyota, VENTILADO"
6611,A-5709,"DISCO VENTILADO BREMBO",479,544,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, FRENO, PICK UP, Toyota, TURBO, VENTILADO"
6612,A-6040,"DISCO VENTILADO BREMBO",547,622,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, FRENO, RAV4, Toyota, VENTILADO"
6614,A-4004,"DISCO SOLIDO BREMBO",332,377,"Automotriz, Automotriz > Frenos","ATLANTIC, BREMBO, CARIBE, CORSAR, DELANTERO, DISCO, FRENO, GOLF, JETTA, POINTER, SOLIDO"
6616,A-6029,"DISCO VENTILADO BREMBO",1160,1318,"Automotriz, Automotriz > Frenos","AUDI, BREMBO, CABRIO, DELANTERO, DISCO, FRENO, LUXURY, TENDRY, VENTILADO"
6617,A-6102,"DISCO VENTILADO BREMBO",754,856,"Automotriz, Automotriz > Frenos","BORA, BREMBO, DELANTERO, DISCO, FRENO, VENTILADO"
6619,A-6100MAX,"DISCO VENTILADO BREMBO",1401,1592,"Automotriz, Automotriz > Frenos","ALTEA, BORA, BREMBO, DELANTERO, DISCO, FRENO, LEON, SEAT, TOLEDO, VENTILADO"
6621,A-6100,"DISCO VENTILADO BREMBO",858,976,"Automotriz, Automotriz > Frenos","ALTEA, BORA, BREMBO, DELANTERO, DISCO, FRENO, LEON, SEAT, VENTILADO"
6623,A-4016,"DISCO SOLIDO BREMBO",715,813,"Automotriz, Automotriz > Frenos","BREMBO, COMBI, DELANTERO, DISCO, FRENO, PANEL, SOLIDO"
6625,A-4726,"DISCO SOLIDO BREMBO",490,557,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DERBY, DISCO, FRENO, GOLF, JETTA, SOLIDO"
6627,A-5924,"DISCO VENTILADO BREMBO",583,674,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, EUROVAN, FRENO, VENTILADO"
6629,A-6077,"DISCO VENTILADO BREMBO",1234,1402,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DIESEL, DISCO, EUROVAN, FRENO, VENTILADO"
6631,A-6165,"DISCO VENTILADO BREMBO",466,529,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, GOL, SAVEIRO, VENTILADO"
6633,A-6104,"DISCO VENTILADO BREMBO",1365,1551,"Automotriz, Automotriz > Frenos","AUDI, BORA, BREMBO, DELANTERO, DISCO, GOLF, PASSAT, TIGUAN, VENTILADO"
6635,A-4917,"DISCO VENTILADO BREMBO",478,544,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, FRENO, GOLF, JETTA, VENTILADO"
6637,A-I1427,"DISCO VENTILADO BREMBO",901,1024,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, FRENO, JETTA, NEW BEETLE, VENTILADO"
6639,A-I1429,"DISCO VENTILADO BREMBO",666,757,"Automotriz, Automotriz > Frenos","AUDI, BREMBO, DELANTERO, DISCO, FRENO, JETTA, NEW BEETLE, SEAT, VENTILADO"
6641,A-I1207,"DISCO VENTILADO BREMBO",518,588,"Automotriz, Automotriz > Frenos","AUDI, BREMBO, DELANTERO, DISCO, FRENO, PASSAT, VENTILADO"
6643,A-5889,"DISCO VENTILADO BREMBO",378,429,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, FRENO, POINTER, VENTILADO"
6645,A-5970,"DISCO VENTILADO BREMBO",647,736,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, FRENO, POLO, VENTILADO"
6647,I-1258,"DISCO VENTILADO BREMBO",629,714,"Automotriz, Automotriz > Frenos","BREMBO, DELANTERO, DISCO, FRENO, SEDAN, VENTILADO, VW"
